animal_id,age,louvain,region
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
3E4,11.99,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
1G8,7.88,0,HIP
2C6,14.03,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
6O7,6.03,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
8B3,13.09,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
74K,20.81,0,HIP
43N,17.0,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2I1,10.27,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2S6,3.17,0,HIP
4Q6,3.22,0,HIP
3E4,11.99,0,HIP
1G8,7.88,0,HIP
2T2,4.09,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3T5,5.12,0,HIP
97R,17.93,0,HIP
2C6,14.03,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3T5,5.12,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3T5,5.12,0,HIP
2I1,10.27,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
1G8,7.88,0,HIP
6O7,6.03,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
4Q6,3.22,0,HIP
31S,17.0,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
4Q6,3.22,0,HIP
74K,20.81,0,HIP
6O7,6.03,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
56R,14.95,0,HIP
3D1,13.11,0,HIP
1G8,7.88,0,HIP
0G3,9.1,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
31S,17.0,0,HIP
6O7,6.03,0,HIP
3E4,11.99,0,HIP
2T2,4.09,0,HIP
3E4,11.99,0,HIP
1P5,6.21,0,HIP
2S6,3.17,0,HIP
1L1,8.17,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
3D1,13.11,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
97R,17.93,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
31S,17.0,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
3E4,11.99,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
56R,14.95,0,HIP
56R,14.95,0,HIP
41N,16.74,0,HIP
56R,14.95,0,HIP
0G3,9.1,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3T5,5.12,0,HIP
97R,17.93,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
1P5,6.21,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2T2,4.09,0,HIP
2C6,14.03,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3T5,5.12,0,HIP
74K,20.81,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
1P5,6.21,0,HIP
56R,14.95,0,HIP
1G8,7.88,0,HIP
3E4,11.99,0,HIP
41N,16.74,0,HIP
74K,20.81,0,HIP
6O7,6.03,0,HIP
1G8,7.88,0,HIP
6L4,8.2,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
97R,17.93,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
0B9,12.11,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2Q0,3.21,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
1P5,6.21,0,HIP
56R,14.95,0,HIP
56R,14.95,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
2S2,6.31,0,HIP
6L4,8.2,0,HIP
77V,16.15,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
97R,17.93,0,HIP
8B3,13.09,0,HIP
74K,20.81,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
56R,14.95,0,HIP
3D1,13.11,0,HIP
8B3,13.09,0,HIP
77V,16.15,0,HIP
0G3,9.1,0,HIP
74K,20.81,0,HIP
2C6,14.03,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
3E4,11.99,0,HIP
