animal_id,age,louvain,region
0G3,9.1,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
0B9,12.11,24,HIP
8I6,9.9,24,HIP
56R,14.95,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
2T2,4.09,24,HIP
2I1,10.27,24,HIP
3T5,5.12,24,HIP
74K,20.81,24,HIP
74K,20.81,24,HIP
0B9,12.11,24,HIP
0B9,12.11,24,HIP
8I6,9.9,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
2S6,3.17,24,HIP
56R,14.95,24,HIP
1G8,7.88,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
91O,15.86,24,HIP
46Z,13.97,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
56R,14.95,24,HIP
46Z,13.97,24,HIP
3T5,5.12,24,HIP
1G8,7.88,24,HIP
91O,15.86,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
82V,16.01,24,HIP
0B9,12.11,24,HIP
3T5,5.12,24,HIP
1G8,7.88,24,HIP
2I1,10.27,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
0B9,12.11,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
2I1,10.27,24,HIP
77V,16.15,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
77V,16.15,24,HIP
74K,20.81,24,HIP
0B9,12.11,24,HIP
56R,14.95,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
77V,16.15,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
82V,16.01,24,HIP
8I6,9.9,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
77V,16.15,24,HIP
74K,20.81,24,HIP
1P5,6.21,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
1G8,7.88,24,HIP
1G8,7.88,24,HIP
77V,16.15,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
74K,20.81,24,HIP
1P5,6.21,24,HIP
56R,14.95,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
74K,20.81,24,HIP
74K,20.81,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
46Z,13.97,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
3T5,5.12,24,HIP
1P5,6.21,24,HIP
8I6,9.9,24,HIP
3K1,9.01,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
1P5,6.21,24,HIP
56R,14.95,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
91O,15.86,24,HIP
1V8,4.31,24,HIP
82V,16.01,24,HIP
3D1,13.11,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
2I1,10.27,24,HIP
2I1,10.27,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
0B9,12.11,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
82V,16.01,24,HIP
0B9,12.11,24,HIP
8I6,9.9,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
82V,16.01,24,HIP
0B9,12.11,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
2T2,4.09,24,HIP
2I1,10.27,24,HIP
74K,20.81,24,HIP
3D1,13.11,24,HIP
46Z,13.97,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
74K,20.81,24,HIP
0B9,12.11,24,HIP
56R,14.95,24,HIP
3T5,5.12,24,HIP
2I1,10.27,24,HIP
0G3,9.1,24,HIP
0G3,9.1,24,HIP
1P5,6.21,24,HIP
3D1,13.11,24,HIP
3D1,13.11,24,HIP
46Z,13.97,24,HIP
2I1,10.27,24,HIP
74K,20.81,24,HIP
82V,16.01,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
2S2,6.31,24,HIP
56R,14.95,24,HIP
97R,17.93,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
8I6,9.9,24,HIP
56R,14.95,24,HIP
2T2,4.09,24,HIP
2I1,10.27,24,HIP
2I1,10.27,24,HIP
0B9,12.11,24,HIP
2S6,3.17,24,HIP
3T5,5.12,24,HIP
1G8,7.88,24,HIP
2I1,10.27,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
3T5,5.12,24,HIP
77V,16.15,24,HIP
56R,14.95,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
0G3,9.1,24,HIP
74K,20.81,24,HIP
74K,20.81,24,HIP
3D1,13.11,24,HIP
3T5,5.12,24,HIP
2I1,10.27,24,HIP
74K,20.81,24,HIP
1P5,6.21,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
3T5,5.12,24,HIP
1V8,4.31,24,HIP
74K,20.81,24,HIP
