animal_id,age,louvain,region
37V,15.07,13,HIP
31S,17.0,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
2C6,14.03,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
6D9,13.11,13,HIP
8M0,8.12,13,HIP
55R,14.97,13,HIP
55R,14.97,13,HIP
1G8,7.88,13,HIP
46Z,13.97,13,HIP
4Q6,3.22,13,HIP
2I1,10.27,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
0B9,12.11,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
2T2,4.09,13,HIP
7M4,8.15,13,HIP
4J6,7.15,13,HIP
2V1,4.3,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
55R,14.97,13,HIP
3D1,13.11,13,HIP
7M4,8.15,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
41N,16.74,13,HIP
2I1,10.27,13,HIP
2V1,4.3,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
8C9,12.12,13,HIP
1T9,4.11,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S2,6.31,13,HIP
2S2,6.31,13,HIP
2S2,6.31,13,HIP
3D1,13.11,13,HIP
2T2,4.09,13,HIP
97R,17.93,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
0B9,12.11,13,HIP
1T9,4.11,13,HIP
8I6,9.9,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
3R7,3.32,13,HIP
3D1,13.11,13,HIP
50P,15.59,13,HIP
7M4,8.15,13,HIP
97R,17.93,13,HIP
8B3,13.09,13,HIP
2V1,4.3,13,HIP
0G3,9.1,13,HIP
6O7,6.03,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
8M0,8.12,13,HIP
56R,14.95,13,HIP
55R,14.97,13,HIP
3D1,13.11,13,HIP
50P,15.59,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
0G3,9.1,13,HIP
0B9,12.11,13,HIP
6O7,6.03,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
97R,17.93,13,HIP
77V,16.15,13,HIP
1T9,4.11,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
8M0,8.12,13,HIP
2S2,6.31,13,HIP
1G8,7.88,13,HIP
5R4,6.25,13,HIP
8M0,8.12,13,HIP
2I1,10.27,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
0G3,9.1,13,HIP
43N,17.0,13,HIP
2C6,14.03,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
5R4,6.25,13,HIP
7M4,8.15,13,HIP
8B3,13.09,13,HIP
8M0,8.12,13,HIP
0B9,12.11,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
8I6,9.9,13,HIP
37V,15.07,13,HIP
37V,15.07,13,HIP
2S2,6.31,13,HIP
56R,14.95,13,HIP
3T5,5.12,13,HIP
1G8,7.88,13,HIP
8M0,8.12,13,HIP
5H6,11.03,13,HIP
1L1,8.17,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
0B9,12.11,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
1T9,4.11,13,HIP
1P5,6.21,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
42T,15.96,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
1L1,8.17,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
74K,20.81,13,HIP
8C9,12.12,13,HIP
3E4,11.99,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
42T,15.96,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
1G8,7.88,13,HIP
5R4,6.25,13,HIP
97R,17.93,13,HIP
31S,17.0,13,HIP
2T2,4.09,13,HIP
77V,16.15,13,HIP
43N,17.0,13,HIP
1T9,4.11,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
3T5,5.12,13,HIP
8H2,10.13,13,HIP
98V,16.03,13,HIP
8B3,13.09,13,HIP
42T,15.96,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
2I1,10.27,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
1P5,6.21,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
37V,15.07,13,HIP
3T5,5.12,13,HIP
46Z,13.97,13,HIP
46Z,13.97,13,HIP
6L4,8.2,13,HIP
0B9,12.11,13,HIP
3E4,11.99,13,HIP
3E4,11.99,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
6D9,13.11,13,HIP
50P,15.59,13,HIP
46Z,13.97,13,HIP
7F0,11.2,13,HIP
0B9,12.11,13,HIP
6O7,6.03,13,HIP
3E4,11.99,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
50P,15.59,13,HIP
7M4,8.15,13,HIP
8B3,13.09,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
8C9,12.12,13,HIP
1T9,4.11,13,HIP
1P5,6.21,13,HIP
1P5,6.21,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
3D1,13.11,13,HIP
5R4,6.25,13,HIP
2F2,11.04,13,HIP
50P,15.59,13,HIP
8B3,13.09,13,HIP
6L4,8.2,13,HIP
6L4,8.2,13,HIP
2I1,10.27,13,HIP
2I1,10.27,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
74K,20.81,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
8C9,12.12,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
3R7,3.32,13,HIP
3T5,5.12,13,HIP
4Q6,3.22,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
1T9,4.11,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
6D9,13.11,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
97R,17.93,13,HIP
46Z,13.97,13,HIP
4J6,7.15,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
8I6,9.9,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
1G8,7.88,13,HIP
31S,17.0,13,HIP
4J6,7.15,13,HIP
1V8,4.31,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
2C6,14.03,13,HIP
8I6,9.9,13,HIP
3R7,3.32,13,HIP
3D1,13.11,13,HIP
97R,17.93,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
74K,20.81,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
3R7,3.32,13,HIP
2T2,4.09,13,HIP
2T2,4.09,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
2T6,5.18,13,HIP
46Z,13.97,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
3E4,11.99,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
3D1,13.11,13,HIP
8H2,10.13,13,HIP
8B3,13.09,13,HIP
1L1,8.17,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
74K,20.81,13,HIP
56K,19.93,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
1G8,7.88,13,HIP
7M4,8.15,13,HIP
4Q6,3.22,13,HIP
6L4,8.2,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
56K,19.93,13,HIP
0B9,12.11,13,HIP
2C6,14.03,13,HIP
4S3,3.18,13,HIP
6D9,13.11,13,HIP
37V,15.07,13,HIP
3D1,13.11,13,HIP
97R,17.93,13,HIP
4Q6,3.22,13,HIP
5H6,11.03,13,HIP
7F0,11.2,13,HIP
56K,19.93,13,HIP
3E4,11.99,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
56R,14.95,13,HIP
5R4,6.25,13,HIP
46Z,13.97,13,HIP
2I1,10.27,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
56K,19.93,13,HIP
1T9,4.11,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
8M0,8.12,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
56K,19.93,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
8B3,13.09,13,HIP
4J6,7.15,13,HIP
6L4,8.2,13,HIP
2I1,10.27,13,HIP
1V8,4.31,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
2S2,6.31,13,HIP
2S2,6.31,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
46Z,13.97,13,HIP
2T2,4.09,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
43N,17.0,13,HIP
43N,17.0,13,HIP
6O7,6.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
3D1,13.11,13,HIP
3D1,13.11,13,HIP
7M4,8.15,13,HIP
4Q6,3.22,13,HIP
7F0,11.2,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
8M0,8.12,13,HIP
3D1,13.11,13,HIP
3D1,13.11,13,HIP
8H2,10.13,13,HIP
5H6,11.03,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
43N,17.0,13,HIP
6O7,6.03,13,HIP
8I6,9.9,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
2S2,6.31,13,HIP
55R,14.97,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
4Q6,3.22,13,HIP
4J6,7.15,13,HIP
2I1,10.27,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
31S,17.0,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
43N,17.0,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
37V,15.07,13,HIP
8M0,8.12,13,HIP
56R,14.95,13,HIP
42T,15.96,13,HIP
42T,15.96,13,HIP
2T6,5.18,13,HIP
46Z,13.97,13,HIP
5H6,11.03,13,HIP
41N,16.74,13,HIP
1V8,4.31,13,HIP
0G3,9.1,13,HIP
1T9,4.11,13,HIP
6O7,6.03,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
1G8,7.88,13,HIP
5R4,6.25,13,HIP
43N,17.0,13,HIP
43N,17.0,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
8M0,8.12,13,HIP
2I1,10.27,13,HIP
0G3,9.1,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
3E4,11.99,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4J6,7.15,13,HIP
74K,20.81,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
8M0,8.12,13,HIP
55R,14.97,13,HIP
3D1,13.11,13,HIP
2T2,4.09,13,HIP
42T,15.96,13,HIP
82V,16.01,13,HIP
43N,17.0,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
3R7,3.32,13,HIP
3T5,5.12,13,HIP
8H2,10.13,13,HIP
50P,15.59,13,HIP
7M4,8.15,13,HIP
42T,15.96,13,HIP
31S,17.0,13,HIP
8M0,8.12,13,HIP
2I1,10.27,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
3R7,3.32,13,HIP
3R7,3.32,13,HIP
3R7,3.32,13,HIP
37V,15.07,13,HIP
56R,14.95,13,HIP
1G8,7.88,13,HIP
42T,15.96,13,HIP
42T,15.96,13,HIP
8M0,8.12,13,HIP
1L1,8.17,13,HIP
0G3,9.1,13,HIP
6O7,6.03,13,HIP
6O7,6.03,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
3D1,13.11,13,HIP
5R4,6.25,13,HIP
8B3,13.09,13,HIP
31S,17.0,13,HIP
4Q6,3.22,13,HIP
41N,16.74,13,HIP
77V,16.15,13,HIP
43N,17.0,13,HIP
2C6,14.03,13,HIP
8I6,9.9,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
8M0,8.12,13,HIP
5H6,11.03,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
2C6,14.03,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
3R7,3.32,13,HIP
37V,15.07,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
3D1,13.11,13,HIP
1L1,8.17,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
1T9,4.11,13,HIP
1T9,4.11,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
37V,15.07,13,HIP
1G8,7.88,13,HIP
1G8,7.88,13,HIP
8B3,13.09,13,HIP
8B3,13.09,13,HIP
2T6,5.18,13,HIP
31S,17.0,13,HIP
5H6,11.03,13,HIP
77V,16.15,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
74K,20.81,13,HIP
0B9,12.11,13,HIP
1P5,6.21,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
3D1,13.11,13,HIP
8B3,13.09,13,HIP
2T2,4.09,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
46Z,13.97,13,HIP
4J6,7.15,13,HIP
2I1,10.27,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
74K,20.81,13,HIP
56K,19.93,13,HIP
0B9,12.11,13,HIP
0B9,12.11,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
3E4,11.99,13,HIP
6D9,13.11,13,HIP
37V,15.07,13,HIP
37V,15.07,13,HIP
3K1,9.01,13,HIP
3T5,5.12,13,HIP
50P,15.59,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
0B9,12.11,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
7M4,8.15,13,HIP
8B3,13.09,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
56K,19.93,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
8M0,8.12,13,HIP
2S2,6.31,13,HIP
2S2,6.31,13,HIP
3D1,13.11,13,HIP
1G8,7.88,13,HIP
46Z,13.97,13,HIP
5H6,11.03,13,HIP
4J6,7.15,13,HIP
2V1,4.3,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
3D1,13.11,13,HIP
2T2,4.09,13,HIP
7M4,8.15,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
37V,15.07,13,HIP
8M0,8.12,13,HIP
56R,14.95,13,HIP
8H2,10.13,13,HIP
8H2,10.13,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
2T2,4.09,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
56K,19.93,13,HIP
8C9,12.12,13,HIP
8C9,12.12,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
7M4,8.15,13,HIP
56K,19.93,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
1G8,7.88,13,HIP
2T2,4.09,13,HIP
8B3,13.09,13,HIP
42T,15.96,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
5H6,11.03,13,HIP
1L1,8.17,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
8C9,12.12,13,HIP
6D9,13.11,13,HIP
37V,15.07,13,HIP
8M0,8.12,13,HIP
2S2,6.31,13,HIP
2S2,6.31,13,HIP
2T2,4.09,13,HIP
2F2,11.04,13,HIP
50P,15.59,13,HIP
97R,17.93,13,HIP
8B3,13.09,13,HIP
8B3,13.09,13,HIP
8B3,13.09,13,HIP
42T,15.96,13,HIP
42T,15.96,13,HIP
4Q6,3.22,13,HIP
2V1,4.3,13,HIP
43N,17.0,13,HIP
0B9,12.11,13,HIP
8C9,12.12,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
8M0,8.12,13,HIP
50P,15.59,13,HIP
8B3,13.09,13,HIP
2T6,5.18,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
82V,16.01,13,HIP
43N,17.0,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
56R,14.95,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
43N,17.0,13,HIP
3E4,11.99,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
46Z,13.97,13,HIP
8M0,8.12,13,HIP
41N,16.74,13,HIP
41N,16.74,13,HIP
2V1,4.3,13,HIP
0G3,9.1,13,HIP
56K,19.93,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2T2,4.09,13,HIP
97R,17.93,13,HIP
4Q6,3.22,13,HIP
2I1,10.27,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
8C9,12.12,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
97R,17.93,13,HIP
8M0,8.12,13,HIP
2V1,4.3,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
0B9,12.11,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
8M0,8.12,13,HIP
97R,17.93,13,HIP
2T6,5.18,13,HIP
31S,17.0,13,HIP
8M0,8.12,13,HIP
2T2,4.09,13,HIP
4J6,7.15,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
56K,19.93,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
37V,15.07,13,HIP
8M0,8.12,13,HIP
1G8,7.88,13,HIP
31S,17.0,13,HIP
31S,17.0,13,HIP
46Z,13.97,13,HIP
46Z,13.97,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
43N,17.0,13,HIP
6O7,6.03,13,HIP
2C6,14.03,13,HIP
2C6,14.03,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
8M0,8.12,13,HIP
1G8,7.88,13,HIP
2T2,4.09,13,HIP
7M4,8.15,13,HIP
97R,17.93,13,HIP
2I1,10.27,13,HIP
2V1,4.3,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
8C9,12.12,13,HIP
6O7,6.03,13,HIP
8I6,9.9,13,HIP
2S6,3.17,13,HIP
6D9,13.11,13,HIP
2T2,4.09,13,HIP
50P,15.59,13,HIP
42T,15.96,13,HIP
91O,15.86,13,HIP
4Q6,3.22,13,HIP
2T2,4.09,13,HIP
2I1,10.27,13,HIP
7F0,11.2,13,HIP
1T9,4.11,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
2S2,6.31,13,HIP
3T5,5.12,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
46Z,13.97,13,HIP
41N,16.74,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
97R,17.93,13,HIP
8M0,8.12,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
7F0,11.2,13,HIP
0G3,9.1,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
2S2,6.31,13,HIP
50P,15.59,13,HIP
41N,16.74,13,HIP
77V,16.15,13,HIP
77V,16.15,13,HIP
43N,17.0,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
42T,15.96,13,HIP
4J6,7.15,13,HIP
74K,20.81,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
3R7,3.32,13,HIP
8M0,8.12,13,HIP
56R,14.95,13,HIP
97R,17.93,13,HIP
2V1,4.3,13,HIP
7F0,11.2,13,HIP
7F0,11.2,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S2,6.31,13,HIP
1G8,7.88,13,HIP
77V,16.15,13,HIP
82V,16.01,13,HIP
43N,17.0,13,HIP
3E4,11.99,13,HIP
2Q0,3.21,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
8M0,8.12,13,HIP
8M0,8.12,13,HIP
3K1,9.01,13,HIP
56R,14.95,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
82V,16.01,13,HIP
43N,17.0,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
4S3,3.18,13,HIP
2T2,4.09,13,HIP
50P,15.59,13,HIP
97R,17.93,13,HIP
97R,17.93,13,HIP
42T,15.96,13,HIP
42T,15.96,13,HIP
4Q6,3.22,13,HIP
2V1,4.3,13,HIP
77V,16.15,13,HIP
74K,20.81,13,HIP
1T9,4.11,13,HIP
1T9,4.11,13,HIP
2C6,14.03,13,HIP
1P5,6.21,13,HIP
1P5,6.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
4S3,3.18,13,HIP
2S6,3.17,13,HIP
46Z,13.97,13,HIP
0G3,9.1,13,HIP
74K,20.81,13,HIP
56K,19.93,13,HIP
2C6,14.03,13,HIP
8I6,9.9,13,HIP
2Q0,3.21,13,HIP
2Q0,3.21,13,HIP
2S6,3.17,13,HIP
3R7,3.32,13,HIP
3D1,13.11,13,HIP
8B3,13.09,13,HIP
4J6,7.15,13,HIP
1V8,4.31,13,HIP
74K,20.81,13,HIP
56K,19.93,13,HIP
43N,17.0,13,HIP
2Q0,3.21,13,HIP
