animal_id,age,louvain,region
3T5,5.12,17,CN
1G8,7.88,17,CN
7M4,8.15,17,CN
46Z,13.97,17,CN
1T9,4.11,17,CN
3K1,9.01,17,CN
3T5,5.12,17,CN
42T,15.96,17,CN
77V,16.15,17,CN
0G3,9.1,17,CN
1T9,4.11,17,CN
31S,17.0,17,CN
0G3,9.1,17,CN
82V,16.01,17,CN
82V,16.01,17,CN
43N,17.0,17,CN
2S2,6.31,17,CN
3K1,9.01,17,CN
55R,14.97,17,CN
8H2,10.13,17,CN
42T,15.96,17,CN
91O,15.86,17,CN
6L4,8.2,17,CN
43N,17.0,17,CN
0B9,12.11,17,CN
1T9,4.11,17,CN
31S,17.0,17,CN
1L1,8.17,17,CN
77V,16.15,17,CN
43N,17.0,17,CN
2C6,14.03,17,CN
98V,16.03,17,CN
2F2,11.04,17,CN
97R,17.93,17,CN
1L1,8.17,17,CN
1V8,4.31,17,CN
6O7,6.03,17,CN
2C6,14.03,17,CN
8M0,8.12,17,CN
2F2,11.04,17,CN
7M4,8.15,17,CN
2T6,5.18,17,CN
31S,17.0,17,CN
5H6,11.03,17,CN
3E4,11.99,17,CN
5H6,11.03,17,CN
3E4,11.99,17,CN
37V,15.07,17,CN
2S2,6.31,17,CN
5H6,11.03,17,CN
2C6,14.03,17,CN
2S6,3.17,17,CN
31S,17.0,17,CN
4S3,3.18,17,CN
2I1,10.27,17,CN
56R,14.95,17,CN
3D1,13.11,17,CN
2T2,4.09,17,CN
4J6,7.15,17,CN
1T9,4.11,17,CN
3E4,11.99,17,CN
56R,14.95,17,CN
3D1,13.11,17,CN
5R4,6.25,17,CN
5H6,11.03,17,CN
1V8,4.31,17,CN
3T5,5.12,17,CN
3T5,5.12,17,CN
98V,16.03,17,CN
1V8,4.31,17,CN
77V,16.15,17,CN
3D1,13.11,17,CN
3T5,5.12,17,CN
37V,15.07,17,CN
56R,14.95,17,CN
55R,14.97,17,CN
1V8,4.31,17,CN
77V,16.15,17,CN
5H6,11.03,17,CN
2Q0,3.21,17,CN
8B3,13.09,17,CN
56R,14.95,17,CN
3T5,5.12,17,CN
8H2,10.13,17,CN
2F2,11.04,17,CN
97R,17.93,17,CN
46Z,13.97,17,CN
77V,16.15,17,CN
74K,20.81,17,CN
37V,15.07,17,CN
3T5,5.12,17,CN
98V,16.03,17,CN
82V,16.01,17,CN
82V,16.01,17,CN
1T9,4.11,17,CN
3E4,11.99,17,CN
0G3,9.1,17,CN
50P,15.59,17,CN
91O,15.86,17,CN
4J6,7.15,17,CN
4J6,7.15,17,CN
4J6,7.15,17,CN
41N,16.74,17,CN
3E4,11.99,17,CN
55R,14.97,17,CN
31S,17.0,17,CN
46Z,13.97,17,CN
46Z,13.97,17,CN
1V8,4.31,17,CN
55R,14.97,17,CN
2I1,10.27,17,CN
77V,16.15,17,CN
82V,16.01,17,CN
74K,20.81,17,CN
3T5,5.12,17,CN
46Z,13.97,17,CN
1V8,4.31,17,CN
2V1,4.3,17,CN
56K,19.93,17,CN
4Q6,3.22,17,CN
43N,17.0,17,CN
0B9,12.11,17,CN
8M0,8.12,17,CN
2S2,6.31,17,CN
0G3,9.1,17,CN
8M0,8.12,17,CN
41N,16.74,17,CN
74K,20.81,17,CN
43N,17.0,17,CN
3E4,11.99,17,CN
77V,16.15,17,CN
2C6,14.03,17,CN
2S2,6.31,17,CN
4S3,3.18,17,CN
1T9,4.11,17,CN
82V,16.01,17,CN
2C6,14.03,17,CN
8C9,12.12,17,CN
2S2,6.31,17,CN
1V8,4.31,17,CN
82V,16.01,17,CN
8M0,8.12,17,CN
74K,20.81,17,CN
1V8,4.31,17,CN
0G3,9.1,17,CN
2C6,14.03,17,CN
2Q0,3.21,17,CN
8M0,8.12,17,CN
7F0,11.2,17,CN
2S6,3.17,17,CN
37V,15.07,17,CN
4J6,7.15,17,CN
82V,16.01,17,CN
74K,20.81,17,CN
8C9,12.12,17,CN
2S2,6.31,17,CN
2I1,10.27,17,CN
0G3,9.1,17,CN
8I6,9.9,17,CN
4S3,3.18,17,CN
43N,17.0,17,CN
4S3,3.18,17,CN
4J6,7.15,17,CN
82V,16.01,17,CN
0B9,12.11,17,CN
8C9,12.12,17,CN
2I1,10.27,17,CN
8I6,9.9,17,CN
82V,16.01,17,CN
43N,17.0,17,CN
43N,17.0,17,CN
8C9,12.12,17,CN
2Q0,3.21,17,CN
0G3,9.1,17,CN
0B9,12.11,17,CN
6D9,13.11,17,CN
82V,16.01,17,CN
1T9,4.11,17,CN
8M0,8.12,17,CN
2Q0,3.21,17,CN
6D9,13.11,17,CN
3E4,11.99,17,CN
77V,16.15,17,CN
37V,15.07,17,CN
2V1,4.3,17,CN
82V,16.01,17,CN
82V,16.01,17,CN
43N,17.0,17,CN
43N,17.0,17,CN
0B9,12.11,17,CN
2C6,14.03,17,CN
1P5,6.21,17,CN
8M0,8.12,17,CN
6L4,8.2,17,CN
1L1,8.17,17,CN
2C6,14.03,17,CN
8I6,9.9,17,CN
8M0,8.12,17,CN
2S2,6.31,17,CN
6L4,8.2,17,CN
2I1,10.27,17,CN
6D9,13.11,17,CN
1V8,4.31,17,CN
43N,17.0,17,CN
2Q0,3.21,17,CN
6L4,8.2,17,CN
0G3,9.1,17,CN
0G3,9.1,17,CN
2C6,14.03,17,CN
37V,15.07,17,CN
8M0,8.12,17,CN
2S2,6.31,17,CN
8I6,9.9,17,CN
8I6,9.9,17,CN
77V,16.15,17,CN
2C6,14.03,17,CN
8I6,9.9,17,CN
1V8,4.31,17,CN
8C9,12.12,17,CN
4J6,7.15,17,CN
4J6,7.15,17,CN
82V,16.01,17,CN
37V,15.07,17,CN
8M0,8.12,17,CN
2C6,14.03,17,CN
