animal_id,age,louvain,region
55R,14.97,1,HIP
1G8,7.88,1,HIP
77V,16.15,1,HIP
8C9,12.12,1,HIP
6O7,6.03,1,HIP
37V,15.07,1,HIP
8I6,9.9,1,HIP
3D1,13.11,1,HIP
5R4,6.25,1,HIP
5R4,6.25,1,HIP
0B9,12.11,1,HIP
37V,15.07,1,HIP
3D1,13.11,1,HIP
37V,15.07,1,HIP
97R,17.93,1,HIP
4J6,7.15,1,HIP
3E4,11.99,1,HIP
46Z,13.97,1,HIP
2I1,10.27,1,HIP
0B9,12.11,1,HIP
8C9,12.12,1,HIP
1T9,4.11,1,HIP
2S2,6.31,1,HIP
6O7,6.03,1,HIP
3D1,13.11,1,HIP
3T5,5.12,1,HIP
2T6,5.18,1,HIP
43N,17.0,1,HIP
1P5,6.21,1,HIP
3R7,3.32,1,HIP
55R,14.97,1,HIP
43N,17.0,1,HIP
56K,19.93,1,HIP
2C6,14.03,1,HIP
2C6,14.03,1,HIP
6D9,13.11,1,HIP
5R4,6.25,1,HIP
98V,16.03,1,HIP
43N,17.0,1,HIP
8C9,12.12,1,HIP
2C6,14.03,1,HIP
8I6,9.9,1,HIP
5H6,11.03,1,HIP
8C9,12.12,1,HIP
1G8,7.88,1,HIP
77V,16.15,1,HIP
82V,16.01,1,HIP
8B3,13.09,1,HIP
2T2,4.09,1,HIP
1P5,6.21,1,HIP
98V,16.03,1,HIP
0B9,12.11,1,HIP
8C9,12.12,1,HIP
3E4,11.99,1,HIP
6D9,13.11,1,HIP
3D1,13.11,1,HIP
8B3,13.09,1,HIP
8B3,13.09,1,HIP
5H6,11.03,1,HIP
56K,19.93,1,HIP
2S2,6.31,1,HIP
98V,16.03,1,HIP
1V8,4.31,1,HIP
37V,15.07,1,HIP
0G3,9.1,1,HIP
56K,19.93,1,HIP
8I6,9.9,1,HIP
2S2,6.31,1,HIP
7M4,8.15,1,HIP
46Z,13.97,1,HIP
2I1,10.27,1,HIP
8I6,9.9,1,HIP
3R7,3.32,1,HIP
2S2,6.31,1,HIP
55R,14.97,1,HIP
3D1,13.11,1,HIP
3D1,13.11,1,HIP
3T5,5.12,1,HIP
77V,16.15,1,HIP
0B9,12.11,1,HIP
2S6,3.17,1,HIP
3D1,13.11,1,HIP
3T5,5.12,1,HIP
97R,17.93,1,HIP
1V8,4.31,1,HIP
77V,16.15,1,HIP
1P5,6.21,1,HIP
8I6,9.9,1,HIP
2F2,11.04,1,HIP
2I1,10.27,1,HIP
56K,19.93,1,HIP
2T2,4.09,1,HIP
7M4,8.15,1,HIP
4Q6,3.22,1,HIP
4Q6,3.22,1,HIP
0B9,12.11,1,HIP
8I6,9.9,1,HIP
2Q0,3.21,1,HIP
98V,16.03,1,HIP
7M4,8.15,1,HIP
8B3,13.09,1,HIP
74K,20.81,1,HIP
6O7,6.03,1,HIP
8M0,8.12,1,HIP
7F0,11.2,1,HIP
4S3,3.18,1,HIP
74K,20.81,1,HIP
74K,20.81,1,HIP
1G8,7.88,1,HIP
97R,17.93,1,HIP
42T,15.96,1,HIP
5H6,11.03,1,HIP
5H6,11.03,1,HIP
2I1,10.27,1,HIP
56K,19.93,1,HIP
3R7,3.32,1,HIP
55R,14.97,1,HIP
82V,16.01,1,HIP
4S3,3.18,1,HIP
3R7,3.32,1,HIP
3D1,13.11,1,HIP
7M4,8.15,1,HIP
56K,19.93,1,HIP
0B9,12.11,1,HIP
2C6,14.03,1,HIP
3D1,13.11,1,HIP
97R,17.93,1,HIP
4Q6,3.22,1,HIP
82V,16.01,1,HIP
8I6,9.9,1,HIP
2Q0,3.21,1,HIP
1T9,4.11,1,HIP
5R4,6.25,1,HIP
31S,17.0,1,HIP
46Z,13.97,1,HIP
5H6,11.03,1,HIP
5H6,11.03,1,HIP
3R7,3.32,1,HIP
8B3,13.09,1,HIP
2T6,5.18,1,HIP
2I1,10.27,1,HIP
1L1,8.17,1,HIP
0B9,12.11,1,HIP
0B9,12.11,1,HIP
3T5,5.12,1,HIP
0G3,9.1,1,HIP
8C9,12.12,1,HIP
2Q0,3.21,1,HIP
8M0,8.12,1,HIP
3T5,5.12,1,HIP
97R,17.93,1,HIP
4Q6,3.22,1,HIP
4Q6,3.22,1,HIP
2I1,10.27,1,HIP
2C6,14.03,1,HIP
3T5,5.12,1,HIP
5H6,11.03,1,HIP
5H6,11.03,1,HIP
77V,16.15,1,HIP
82V,16.01,1,HIP
56K,19.93,1,HIP
3E4,11.99,1,HIP
3E4,11.99,1,HIP
7M4,8.15,1,HIP
0B9,12.11,1,HIP
1P5,6.21,1,HIP
4J6,7.15,1,HIP
3E4,11.99,1,HIP
2Q0,3.21,1,HIP
55R,14.97,1,HIP
1G8,7.88,1,HIP
91O,15.86,1,HIP
0G3,9.1,1,HIP
0B9,12.11,1,HIP
2S6,3.17,1,HIP
